Question,Retrieved Relevant? (Y/N),Answer Correct? (Y/N),Refused Correctly? (Y/N)
What is force?,Y,Y,N
What is inertia?,Y,Y,N
State Newton's first law.,Y,Y,N
State Newton's second law.,Y,Y,N
State Newton's third law.,Y,Y,N
What is momentum?,Y,Y,N
What is the SI unit of force?,Y,Y,N
Why are seat belts necessary?,Y,Y,N
Why does a moving bicycle slow down when pedalling stops?,Y,Y,N
What happens when balanced forces act?,Y,Y,N
What happens when unbalanced forces act?,Y,Y,N
What is action and reaction?,Y,Y,N
Why do we fall forward when a bus stops suddenly?,Y,Y,N
What is DNA?,N,N,Y
Explain photosynthesis.,N,N,Y
